#Types Before Cut: 11091
#Types After Cut: 9681
#Search Hits: 0
242	13	34.284	спать
243	13	34.284	твои
244	13	34.284	учились
245	20	33.608	другому
246	17	33.291	пошла
247	15	32.700	будешь
248	15	32.700	понял
249	15	32.700	поняла
250	28	32.444	таки
251	34	32.325	голос
252	24	32.285	принципе
253	18	32.113	дом
254	18	32.113	фильм
255	49	31.659	всегда
256	12	31.647	берег
257	12	31.647	весело
258	12	31.647	детстве
259	12	31.647	квартиру
260	12	31.647	круто
261	12	31.647	поговорить
262	12	31.647	пятьдесят
263	12	31.647	смешно
264	113	31.526	даже
265	16	30.883	школа
266	16	30.883	языке
267	20	30.837	дочка
268	21	30.513	хоть
269	21	30.513	язык
270	36	30.357	две
271	23	30.234	дома
272	14	30.196	домой
273	17	29.792	давайте
274	11	29.009	inan
275	11	29.009	давали
276	11	29.009	девочки
277	11	29.009	девяносто
278	11	29.009	здорово
279	11	29.009	знала
280	11	29.009	кадра
281	11	29.009	классно
282	11	29.009	кхм
283	11	29.009	понимаешь
284	11	29.009	расскажу
285	11	29.009	рассказчик
286	11	29.009	смеётся
287	11	29.009	смотри
288	11	29.009	соседка
289	11	29.009	училась
290	11	29.009	холодно
291	19	28.657	младший
292	26	28.641	самое
293	26	28.641	смысле
294	15	28.488	играть
295	21	28.249	жить
296	13	27.702	концерт
297	13	27.702	семья
298	13	27.702	ходить
299	13	27.702	честно
300	16	27.489	видео
301	17	26.873	моей
302	18	26.498	понимаю
303	10	26.372	бывают
304	10	26.372	вкус
305	10	26.372	восемьдесят
306	10	26.372	дед
307	10	26.372	дедушка
308	10	26.372	ехать
309	10	26.372	забыл
310	10	26.372	иии
311	10	26.372	картинка
312	10	26.372	кашель
313	10	26.372	нуу
314	10	26.372	озеро
315	10	26.372	пол
316	10	26.372	прикольно
317	10	26.372	ребята
318	10	26.372	своё
319	10	26.372	слушай
320	10	26.372	смешок
321	10	26.372	собака
322	10	26.372	ушёл
323	19	26.289	н
324	19	26.289	слово
325	22	26.271	какую
326	22	26.271	часов
327	14	26.110	собственно
328	156	25.838	или
329	27	25.796	моя
330	12	25.218	вдруг
331	12	25.218	делаю
332	12	25.218	купил
333	12	25.218	любят
334	15	25.206	ж
335	50	25.136	день
336	39	25.039	людей
337	16	24.670	читать
338	146	24.497	был
339	20	24.222	друг
340	35	24.198	четыре
341	29	23.865	старший
342	13	23.749	какими
343	13	23.749	маленький
344	13	23.749	машина
345	9	23.735	n
346	9	23.735	ар
347	9	23.735	видишь
348	9	23.735	грустный
349	9	23.735	двенадцать
